b_p,n,p_M,run_index,active_set,majority
0.01,15000,0.5,0,234.2725,112.7323
0.01,15000,0.5,1,233.0384,116.3124
0.01,15000,0.5,2,234.887,121.3176
0.01,15000,0.5,3,233.9402,117.1919
0.01,15000,0.5,4,233.394,120.7166
0.01,15000,0.5,5,236.3618,108.125
0.01,15000,0.5,6,233.9043,119.9304
0.01,15000,0.5,7,232.2282,115.7445
0.01,15000,0.5,8,234.2661,125.6293
0.01,15000,0.5,9,233.99,106.1715
0.01,15000,0.5,10,235.1955,123.0439
0.01,15000,0.5,11,234.3207,117.9777
0.01,15000,0.5,12,234.8504,122.7763
0.01,15000,0.5,13,233.7041,111.633
0.01,15000,0.5,14,234.9334,117.1184
0.01,15000,0.5,15,234.1081,116.0545
0.01,15000,0.5,16,234.5802,119.0236
0.01,15000,0.5,17,234.5593,116.6499
0.01,15000,0.5,18,234.9587,120.6811
0.01,15000,0.5,19,235.5048,119.1108
0.01,15000,0.6,0,233.5363,133.9279
0.01,15000,0.6,1,233.0065,134.7444
0.01,15000,0.6,2,235.6574,156.9058
0.01,15000,0.6,3,235.9332,146.4815
0.01,15000,0.6,4,237.2671,135.8023
0.01,15000,0.6,5,234.8902,127.7055
0.01,15000,0.6,6,233.4088,144.0632
0.01,15000,0.6,7,234.8982,141.5338
0.01,15000,0.6,8,234.9298,155.7287
0.01,15000,0.6,9,236.3776,143.7355
0.01,15000,0.6,10,234.2666,126.8702
0.01,15000,0.6,11,235.219,151.8283
0.01,15000,0.6,12,234.7424,142.2179
0.01,15000,0.6,13,233.8817,141.2586
0.01,15000,0.6,14,234.5109,144.346
0.01,15000,0.6,15,234.3451,149.7246
0.01,15000,0.6,16,235.6087,137.3652
0.01,15000,0.6,17,234.7419,152.3981
0.01,15000,0.6,18,233.8039,142.4793
0.01,15000,0.6,19,234.2493,149.1063
0.01,15000,0.7,0,233.8827,160.8159
0.01,15000,0.7,1,235.422,158.7147
0.01,15000,0.7,2,234.2244,169.5038
0.01,15000,0.7,3,235.4104,167.3938
0.01,15000,0.7,4,234.4965,162.1282
0.01,15000,0.7,5,234.9309,162.8092
