p_a,h,i,assortativity
0.5,0.5,0,0.009518906588063635
0.5,0.5,1,-0.003915224306565247
0.5,0.5,2,0.0026920300493288294
0.5,0.5,3,-0.0022045953694495688
0.5,0.5,4,0.010720520455837566
0.5,0.5,5,-0.006147247077085061
0.5,0.5,6,0.016881600589748212
0.5,0.5,7,-0.007929635869528759
0.5,0.5,8,0.00016032978009294636
0.5,0.5,9,-0.0031706666792303065
0.5,0.5,10,-0.0044703541437814635
0.5,0.5,11,-0.010740938182750258
0.5,0.5,12,-0.0015303716051441514
0.5,0.5,13,-0.003567695385765925
0.5,0.5,14,-0.003719513709252527
0.5,0.5,15,-0.00923145481826128
0.5,0.5,16,0.0041649088811110254
0.5,0.5,17,0.0067838569827555996
0.5,0.5,18,-0.007906773200692241
0.5,0.5,19,-0.002278923942188644
0.5,0.6,0,0.07373333747049365
0.5,0.6,1,0.08851691930944931
0.5,0.6,2,0.07842273118509906
0.5,0.6,3,0.08638240886781892
0.5,0.6,4,0.09140606034283534
0.5,0.6,5,0.09103542930321504
0.5,0.6,6,0.08633496167147785
0.5,0.6,7,0.07693498774971524
0.5,0.6,8,0.08896346563679856
0.5,0.6,9,0.07866242488255426
0.5,0.6,10,0.09192446941777935
0.5,0.6,11,0.09497492363042408
0.5,0.6,12,0.09298143929412503
0.5,0.6,13,0.08477053247431061
0.5,0.6,14,0.09175691387259005
0.5,0.6,15,0.07891853990928922
0.5,0.6,16,0.08407653298080495
0.5,0.6,17,0.08069254369880924
0.5,0.6,18,0.0872606595662501
0.5,0.6,19,0.07806793941576713
0.5,0.7,0,0.1682713972377236
0.5,0.7,1,0.1709647868314634
0.5,0.7,2,0.178506141815734
0.5,0.7,3,0.16845815049753188
0.5,0.7,4,0.17720659750378417
0.5,0.7,5,0.16072479022148425
0.5,0.7,6,0.1782164767659359
0.5,0.7,7,0.16656096684714533
0.5,0.7,8,0.17660383185288642
0.5,0.7,9,0.17043014700845413
0.5,0.7,10,0.17020746764765252
0.5,0.7,11,0.16730927827676623
0.5,0.7,12,0.16806522414003466
0.5,0.7,13,0.17015782611411578
0.5,0.7,14,0.17331608141424995
0.5,0.7,15,0.17960227005020393
0.5,0.7,16,0.16731663918357714
0.5,0.7,17,0.1629190120016855
0.5,0.7,18,0.17364968265150937
0.5,0.7,19,0.17108925247292747
0.5,0.8,0,0.24774321967659327
0.5,0.8,1,0.2606451219559479
0.5,0.8,2,0.2494069852885252
0.5,0.8,3,0.2639131164510343
0.5,0.8,4,0.25493463004558736
0.5,0.8,5,0.2586428989140031
0.5,0.8,6,0.25062904218452714
0.5,0.8,7,0.26139901012346345
0.5,0.8,8,0.26002083600641895
0.5,0.8,9,0.24968396241060964
0.5,0.8,10,0.24890779788218992
0.5,0.8,11,0.2552734525681606
0.5,0.8,12,0.2635014912132456
0.5,0.8,13,0.26685224291750187
0.5,0.8,14,0.25553335242387204
0.5,0.8,15,0.25265508406178233
0.5,0.8,16,0.2555773629731181
0.5,0.8,17,0.2536393068212612
0.5,0.8,18,0.24726856526690005
0.5,0.8,19,0.25103230608679983
0.5,0.9,0,0.3384796669710167
0.5,0.9,1,0.3434824124667663
0.5,0.9,2,0.3415212797821787
0.5,0.9,3,0.350696437295882
0.5,0.9,4,0.34074510360071647
0.5,0.9,5,0.34284923791240113
0.5,0.9,6,0.3493175023158599
0.5,0.9,7,0.33423269181703513
0.5,0.9,8,0.34468672860870064
0.5,0.9,9,0.349837474902537
0.5,0.9,10,0.33814825541967825
0.5,0.9,11,0.34002816915978695
0.5,0.9,12,0.3402189008584032
0.5,0.9,13,0.3521620219290594
0.5,0.9,14,0.34622782649614564
0.5,0.9,15,0.33431890748413023
0.5,0.9,16,0.3355118221194747
0.5,0.9,17,0.34813737463000116
0.5,0.9,18,0.33212746102882046
0.5,0.9,19,0.34383142422115426
0.5,1.0,0,0.4170259156532102
0.5,1.0,1,0.42627028025075
0.5,1.0,2,0.42737573876269963
0.5,1.0,3,0.4286185291685905
0.5,1.0,4,0.4215453365319902
0.5,1.0,5,0.42666935580268034
0.5,1.0,6,0.4185563308153914
