b_p,n,p_M,h,run_index,active_set,majority
0.01,20000,0.5,0.5,0,234.7502,109.4603
0.01,20000,0.5,0.5,1,233.2709,108.6493
0.01,20000,0.5,0.5,2,233.8405,118.2674
0.01,20000,0.5,0.5,3,232.2765,120.4667
0.01,20000,0.5,0.5,4,233.299,118.5295
0.01,20000,0.5,0.5,5,233.9349,123.9832
0.01,20000,0.5,0.5,6,233.6808,124.0612
0.01,20000,0.5,0.5,7,234.5677,117.1329
0.01,20000,0.5,0.5,8,233.8995,116.9099
0.01,20000,0.5,0.5,9,233.3819,132.8203
0.01,20000,0.5,0.5,10,234.7569,120.7959
0.01,20000,0.5,0.5,11,233.7621,108.8724
0.01,20000,0.5,0.5,12,233.6332,117.4297
0.01,20000,0.5,0.5,13,234.0454,113.8216
0.01,20000,0.5,0.5,14,236.196,118.8067
0.01,20000,0.5,0.5,15,235.1339,118.1743
0.01,20000,0.5,0.5,16,233.3425,121.3609
0.01,20000,0.5,0.5,17,233.5328,118.5584
0.01,20000,0.5,0.5,18,232.8916,115.9389
0.01,20000,0.5,0.5,19,233.7402,120.3038
0.01,20000,0.5,0.6,0,233.1608,103.0598
0.01,20000,0.5,0.6,1,233.989,115.2462
0.01,20000,0.5,0.6,2,233.3941,117.1985
0.01,20000,0.5,0.6,3,235.1152,126.019
0.01,20000,0.5,0.6,4,234.2019,113.9173
0.01,20000,0.5,0.6,5,234.5951,123.3121
0.01,20000,0.5,0.6,6,234.1739,118.6828
0.01,20000,0.5,0.6,7,232.7489,107.556
0.01,20000,0.5,0.6,8,233.8577,107.2446
0.01,20000,0.5,0.6,9,234.3598,107.9273
0.01,20000,0.5,0.6,10,233.7578,112.9507
0.01,20000,0.5,0.6,11,234.4282,115.1301
0.01,20000,0.5,0.6,12,234.1846,117.7352
0.01,20000,0.5,0.6,13,233.946,117.8817
0.01,20000,0.5,0.6,14,234.5824,121.3845
0.01,20000,0.5,0.6,15,235.3489,122.9732
0.01,20000,0.5,0.6,16,233.6647,118.8058
0.01,20000,0.5,0.6,17,233.0569,119.7055
0.01,20000,0.5,0.6,18,234.4476,119.5563
0.01,20000,0.5,0.6,19,234.7228,109.7202
0.01,20000,0.5,0.7,0,233.2225,118.7543
0.01,20000,0.5,0.7,1,234.6733,113.7541
