b_p,n,p_M,h,h_p,run_index,active_set,majority
0.01,20000,0.8,0.5,0.5,0,233.2587,178.7829
0.01,20000,0.8,0.5,0.5,1,233.2034,182.7994
0.01,20000,0.8,0.5,0.5,2,233.3625,179.2582
0.01,20000,0.8,0.5,0.5,3,233.9279,182.0321
0.01,20000,0.8,0.5,0.5,4,233.9419,179.4631
0.01,20000,0.8,0.5,0.5,5,235.1625,184.66
0.01,20000,0.8,0.5,0.5,6,233.9298,190.126
0.01,20000,0.8,0.5,0.5,7,234.0829,186.0145
0.01,20000,0.8,0.5,0.5,8,232.8648,179.4767
0.01,20000,0.8,0.5,0.5,9,234.2727,186.9305
0.01,20000,0.8,0.5,0.5,10,233.8148,185.0733
0.01,20000,0.8,0.5,0.5,11,233.8733,176.4834
0.01,20000,0.8,0.5,0.5,12,233.403,182.6507
0.01,20000,0.8,0.5,0.5,13,233.874,183.9205
0.01,20000,0.8,0.5,0.5,14,233.8434,179.3456
0.01,20000,0.8,0.5,0.5,15,235.0278,181.7417
0.01,20000,0.8,0.5,0.5,16,234.107,184.1562
0.01,20000,0.8,0.5,0.5,17,235.6831,192.2594
0.01,20000,0.8,0.5,0.5,18,234.5608,186.7819
0.01,20000,0.8,0.5,0.5,19,233.78,182.0528
0.01,20000,0.8,0.5,0.6,0,233.1042,197.7986
0.01,20000,0.8,0.5,0.6,1,233.4699,196.3871
0.01,20000,0.8,0.5,0.6,2,233.3824,202.7503
0.01,20000,0.8,0.5,0.6,3,234.1084,197.574
0.01,20000,0.8,0.5,0.6,4,233.9275,196.7164
0.01,20000,0.8,0.5,0.6,5,235.2966,199.307
0.01,20000,0.8,0.5,0.6,6,234.2433,208.9981
0.01,20000,0.8,0.5,0.6,7,234.3696,204.7154
0.01,20000,0.8,0.5,0.6,8,232.9552,196.6866
0.01,20000,0.8,0.5,0.6,9,234.7324,203.6323
0.01,20000,0.8,0.5,0.6,10,233.8276,198.4089
0.01,20000,0.8,0.5,0.6,11,234.101,194.9613
0.01,20000,0.8,0.5,0.6,12,233.7728,203.4837
0.01,20000,0.8,0.5,0.6,13,233.7671,204.2176
0.01,20000,0.8,0.5,0.6,14,233.4513,199.1029
0.01,20000,0.8,0.5,0.6,15,234.7314,200.8727
0.01,20000,0.8,0.5,0.6,16,234.3803,203.7612
0.01,20000,0.8,0.5,0.6,17,235.6853,205.7548
0.01,20000,0.8,0.5,0.6,18,234.7999,201.3923
0.01,20000,0.8,0.5,0.6,19,233.8452,200.5708
0.01,20000,0.8,0.5,0.7,0,233.7576,209.6285
0.01,20000,0.8,0.5,0.7,1,233.7126,211.8617
0.01,20000,0.8,0.5,0.7,2,233.9134,213.6475
0.01,20000,0.8,0.5,0.7,3,234.5932,210.4274
0.01,20000,0.8,0.5,0.7,4,234.3497,212.4145
0.01,20000,0.8,0.5,0.7,5,235.8719,215.5249
0.01,20000,0.8,0.5,0.7,6,235.1401,217.171
