b_p,network,h_p,lambda,gamma,run_index,active_set,majority
0.01,hersheycareers,0.5,0.0,0.1,0,333.104,240.396
0.01,hersheycareers,0.5,0.0,0.1,1,333.288,241.344
0.01,hersheycareers,0.5,0.0,0.1,2,333.611,242.031
0.01,hersheycareers,0.5,0.0,0.1,3,332.589,239.813
0.01,hersheycareers,0.5,0.0,0.1,4,332.695,240.733
0.01,hersheycareers,0.5,0.0,0.1,5,333.343,241.595
0.01,hersheycareers,0.5,0.0,0.1,6,333.886,241.376
0.01,hersheycareers,0.5,0.0,0.1,7,332.835,237.09
0.01,hersheycareers,0.5,0.0,0.1,8,333.161,240.238
0.01,hersheycareers,0.5,0.0,0.1,9,333.297,241.393
0.01,hersheycareers,0.5,0.0,0.2,0,332.885,240.393
0.01,hersheycareers,0.5,0.0,0.2,1,333.553,243.71
0.01,hersheycareers,0.5,0.0,0.2,2,332.539,237.045
0.01,hersheycareers,0.5,0.0,0.2,3,332.693,238.922
0.01,hersheycareers,0.5,0.0,0.2,4,333.056,239.535
0.01,hersheycareers,0.5,0.0,0.2,5,332.149,240.811
0.01,hersheycareers,0.5,0.0,0.2,6,333.5,239.046
0.01,hersheycareers,0.5,0.0,0.2,7,332.639,241.922
0.01,hersheycareers,0.5,0.0,0.2,8,333.467,239.811
0.01,hersheycareers,0.5,0.0,0.2,9,332.466,238.271
0.01,hersheycareers,0.5,0.0,0.3,0,333.482,241.53
0.01,hersheycareers,0.5,0.0,0.3,1,333.012,244.338
0.01,hersheycareers,0.5,0.0,0.3,2,333.007,240.593
0.01,hersheycareers,0.5,0.0,0.3,3,332.775,234.503
0.01,hersheycareers,0.5,0.0,0.3,4,333.371,238.97
0.01,hersheycareers,0.5,0.0,0.3,5,332.114,241.751
0.01,hersheycareers,0.5,0.0,0.3,6,332.72,240.863
0.01,hersheycareers,0.5,0.0,0.3,7,333.138,239.67
0.01,hersheycareers,0.5,0.0,0.3,8,332.671,239.004
0.01,hersheycareers,0.5,0.0,0.3,9,332.866,238.943
0.01,hersheycareers,0.5,0.0,0.4,0,332.663,239.749
0.01,hersheycareers,0.5,0.0,0.4,1,333.146,240.24
0.01,hersheycareers,0.5,0.0,0.4,2,333.042,241.343
0.01,hersheycareers,0.5,0.0,0.4,3,332.605,238.768
0.01,hersheycareers,0.5,0.0,0.4,4,332.936,243.07
0.01,hersheycareers,0.5,0.0,0.4,5,332.804,239.298
