b_p,network,h_p,offset,run_index,active_set,majority
0.01,hersheycareers,0.5,-60,0,319.0783,168.0405
0.01,hersheycareers,0.5,-60,1,319.2468,168.2219
0.01,hersheycareers,0.5,-60,2,319.1651,168.1801
0.01,hersheycareers,0.5,-60,3,319.2617,168.2261
0.01,hersheycareers,0.5,-60,4,319.1003,168.0953
0.01,hersheycareers,0.5,-60,5,319.1375,168.1501
0.01,hersheycareers,0.5,-60,6,319.2225,168.2169
0.01,hersheycareers,0.5,-60,7,319.3202,168.2902
0.01,hersheycareers,0.5,-60,8,319.196,168.1393
0.01,hersheycareers,0.5,-60,9,319.3069,168.1994
0.01,hersheycareers,0.5,-50,0,319.717,177.5133
0.01,hersheycareers,0.5,-50,1,319.8769,177.6344
0.01,hersheycareers,0.5,-50,2,319.9852,177.7032
0.01,hersheycareers,0.5,-50,3,319.9038,177.6398
0.01,hersheycareers,0.5,-50,4,319.8144,177.4935
0.01,hersheycareers,0.5,-50,5,319.6981,177.4211
0.01,hersheycareers,0.5,-50,6,320.0163,177.6956
0.01,hersheycareers,0.5,-50,7,320.1263,177.8431
0.01,hersheycareers,0.5,-50,8,319.8751,177.576
0.01,hersheycareers,0.5,-50,9,319.6525,177.4457
0.01,hersheycareers,0.5,-40,0,319.9092,186.9194
0.01,hersheycareers,0.5,-40,1,320.1321,187.1636
0.01,hersheycareers,0.5,-40,2,319.8163,186.7918
0.01,hersheycareers,0.5,-40,3,320.0981,187.0783
0.01,hersheycareers,0.5,-40,4,320.089,187.0716
0.01,hersheycareers,0.5,-40,5,320.1766,187.0793
0.01,hersheycareers,0.5,-40,6,320.0815,187.033
0.01,hersheycareers,0.5,-40,7,320.2795,187.217
0.01,hersheycareers,0.5,-40,8,320.153,187.1582
0.01,hersheycareers,0.5,-40,9,320.1273,187.117
0.01,hersheycareers,0.5,-30,0,320.0095,195.8539
0.01,hersheycareers,0.5,-30,1,319.7179,195.6779
0.01,hersheycareers,0.5,-30,2,319.7506,195.7232
0.01,hersheycareers,0.5,-30,3,319.8738,195.8833
0.01,hersheycareers,0.5,-30,4,319.6936,195.6291
0.01,hersheycareers,0.5,-30,5,319.6792,195.6264
0.01,hersheycareers,0.5,-30,6,319.7702,195.6821
0.01,hersheycareers,0.5,-30,7,319.6592,195.6265
0.01,hersheycareers,0.5,-30,8,319.8529,195.7632
0.01,hersheycareers,0.5,-30,9,319.9568,195.9008
0.01,hersheycareers,0.5,-20,0,319.6835,204.4666
0.01,hersheycareers,0.5,-20,1,319.7527,204.5486
0.01,hersheycareers,0.5,-20,2,319.8346,204.6744
0.01,hersheycareers,0.5,-20,3,319.52,204.4122
0.01,hersheycareers,0.5,-20,4,319.5118,204.4011
0.01,hersheycareers,0.5,-20,5,319.8346,204.5503
0.01,hersheycareers,0.5,-20,6,319.6209,204.4067
0.01,hersheycareers,0.5,-20,7,319.5749,204.3952
0.01,hersheycareers,0.5,-20,8,319.7099,204.4415
0.01,hersheycareers,0.5,-20,9,319.7038,204.4693
0.01,hersheycareers,0.5,-10,0,319.3295,212.7179
0.01,hersheycareers,0.5,-10,1,319.4242,212.9004
0.01,hersheycareers,0.5,-10,2,319.3413,212.7666
0.01,hersheycareers,0.5,-10,3,319.6087,212.9751
0.01,hersheycareers,0.5,-10,4,319.447,212.7885
0.01,hersheycareers,0.5,-10,5,319.2622,212.7269
0.01,hersheycareers,0.5,-10,6,319.4329,212.831
0.01,hersheycareers,0.5,-10,7,319.2711,212.6818
0.01,hersheycareers,0.5,-10,8,319.3247,212.7243
0.01,hersheycareers,0.5,-10,9,319.3476,212.8037
0.01,hersheycareers,0.5,0,0,318.8195,221.2761
0.01,hersheycareers,0.5,0,1,318.6297,221.1089
0.01,hersheycareers,0.5,0,2,318.6109,221.1143
0.01,hersheycareers,0.5,0,3,318.472,220.9962
0.01,hersheycareers,0.5,0,4,318.6204,221.1554
0.01,hersheycareers,0.5,0,5,318.614,221.2188
0.01,hersheycareers,0.5,0,6,318.7889,221.2787
0.01,hersheycareers,0.5,0,7,318.669,221.1657
0.01,hersheycareers,0.5,0,8,318.7197,221.1711
0.01,hersheycareers,0.5,0,9,318.6883,221.2162
0.01,hersheycareers,0.5,10,0,318.0797,229.3857
0.01,hersheycareers,0.5,10,1,318.1743,229.5686
0.01,hersheycareers,0.5,10,2,318.1582,229.5811
0.01,hersheycareers,0.5,10,3,318.0544,229.4329
0.01,hersheycareers,0.5,10,4,318.3208,229.6735
0.01,hersheycareers,0.5,10,5,318.2073,229.5716
0.01,hersheycareers,0.5,10,6,318.1335,229.453
0.01,hersheycareers,0.5,10,7,318.0397,229.4561
0.01,hersheycareers,0.5,10,8,317.9033,229.382
0.01,hersheycareers,0.5,10,9,318.1679,229.6297
0.01,hersheycareers,0.5,20,0,317.2672,237.957
0.01,hersheycareers,0.5,20,1,317.21,237.8494
0.01,hersheycareers,0.5,20,2,317.1586,237.9445
0.01,hersheycareers,0.5,20,3,317.3839,238.0661
0.01,hersheycareers,0.5,20,4,317.4523,238.096
0.01,hersheycareers,0.5,20,5,317.2575,237.9175
0.01,hersheycareers,0.5,20,6,317.2927,237.9938
0.01,hersheycareers,0.5,20,7,317.5567,238.1638
0.01,hersheycareers,0.5,20,8,317.4495,238.0998
0.01,hersheycareers,0.5,20,9,317.3779,238.0707
0.01,hersheycareers,0.5,30,0,317.4246,247.0317
0.01,hersheycareers,0.5,30,1,317.4272,246.9679
0.01,hersheycareers,0.5,30,2,317.6217,247.0241
0.01,hersheycareers,0.5,30,3,317.3454,246.9783
0.01,hersheycareers,0.5,30,4,317.4935,247.0287
0.01,hersheycareers,0.5,30,5,317.5505,247.1201
0.01,hersheycareers,0.5,30,6,317.4817,247.0081
0.01,hersheycareers,0.5,30,7,317.25,246.8507
0.01,hersheycareers,0.5,30,8,317.4841,246.9927
0.01,hersheycareers,0.5,30,9,317.35,246.9212
0.01,hersheycareers,0.5,40,0,316.3919,255.3308
0.01,hersheycareers,0.5,40,1,316.4387,255.3832
0.01,hersheycareers,0.5,40,2,316.601,255.5893
0.01,hersheycareers,0.5,40,3,316.5001,255.4865
0.01,hersheycareers,0.5,40,4,316.5296,255.492
0.01,hersheycareers,0.5,40,5,316.3497,255.374
0.01,hersheycareers,0.5,40,6,316.3857,255.4011
0.01,hersheycareers,0.5,40,7,316.4707,255.4246
0.01,hersheycareers,0.5,40,8,316.6249,255.5754
0.01,hersheycareers,0.5,40,9,316.5096,255.5003
0.01,hersheycareers,0.5,50,0,314.8638,263.2215
0.01,hersheycareers,0.5,50,1,314.9718,263.4354
0.01,hersheycareers,0.5,50,2,314.7642,263.2521
0.01,hersheycareers,0.5,50,3,314.6351,263.2182
0.01,hersheycareers,0.5,50,4,314.814,263.178
0.01,hersheycareers,0.5,50,5,314.6904,263.1731
0.01,hersheycareers,0.5,50,6,314.8682,263.3059
0.01,hersheycareers,0.5,50,7,314.8437,263.2368
0.01,hersheycareers,0.5,50,8,314.9154,263.2766
0.01,hersheycareers,0.5,50,9,314.9353,263.3613
0.01,hersheycareers,0.5,60,0,311.8857,269.7445
0.01,hersheycareers,0.5,60,1,311.7308,269.54
0.01,hersheycareers,0.5,60,2,311.9441,269.7421
0.01,hersheycareers,0.5,60,3,311.8982,269.6685
0.01,hersheycareers,0.5,60,4,311.8962,269.7552
0.01,hersheycareers,0.5,60,5,311.8655,269.6105
0.01,hersheycareers,0.5,60,6,311.8879,269.6314
0.01,hersheycareers,0.5,60,7,311.8879,269.7415
0.01,hersheycareers,0.5,60,8,312.035,269.8715
0.01,hersheycareers,0.5,60,9,311.6769,269.523
0.01,hersheycareers,0.8,-60,0,319.9044,179.5731
0.01,hersheycareers,0.8,-60,1,320.0311,179.6828
0.01,hersheycareers,0.8,-60,2,320.2153,179.7881
0.01,hersheycareers,0.8,-60,3,320.0372,179.727
0.01,hersheycareers,0.8,-60,4,320.1709,179.7801
0.01,hersheycareers,0.8,-60,5,320.0117,179.6582
0.01,hersheycareers,0.8,-60,6,320.0251,179.7891
0.01,hersheycareers,0.8,-60,7,320.001,179.6912
0.01,hersheycareers,0.8,-60,8,320.0752,179.7246
0.01,hersheycareers,0.8,-60,9,320.2161,179.816
0.01,hersheycareers,0.8,-50,0,320.9954,189.9502
